Feature,Category
Morphological Complexity Inflection Feature: Past tense per verb token,Morphological
Number of POS Feature: Verb Types (without Modals),Count
Lexical Richness: HDD (excluding punctuation and numbers),Lexical
Lexical Variation Feature: Verb Variation 1,Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD Adj Token),Lexical
Syntactic Complexity Feature: Complex Nominals per Sentence,Syntactic
POS Density Feature: Subordinating Conjunction,Lexical
Morphological Complexity Inflection Feature: Passive verbs per verb token,Morphological
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (N Type),Lexical
Cohesive Complexity Feature: Mendes All Connectives per Token,Discourse
Syntactic Complexity Feature: Adverbial Clause per Sentence,Syntactic
Referential Cohesion: Local Lexical Overlap (lemma-based),Discourse
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (Adj Token),Lexical
Number of Connectives: Easy Connectives,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (Adv Token),Lexical
Syntactic Complexity Feature: Null Subjects per Sentence,Syntactic
Number of POS Feature: Cardinal number Tokens,Count
Number of POS Feature: Verb Types (including Modals),Count
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (LW Token),Lexical
Number of POS Feature: Adverb Tokens,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (Adv Token),Lexical
Referential Cohesion: SD of Global Noun Overlap (lemma-based),Discourse
Cohesive Complexity Feature: Mendes Causal Connectives per Token,Discourse
Syntactic Complexity Feature: Open clausal Complements per Sentence,Syntactic
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD LW Type),Lexical
Cohesive Complexity Feature: Easy Connectives per Token,Discourse
Syntactic Complexity Feature: Relative Clauses per Sentence,Syntactic
Referential Cohesion: Global Noun Overlap (lemma-based),Discourse
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (FW Token),Lexical
Syntactic Complexity Feature: Prepositional Phrases per Clause,Syntactic
Mean T-unit Length in Tokens,Count
Morphological Complexity Inflection Feature: Second Person per word token,Morphological
Syntactic Complexity Feature: Asyndetic Coordinate Phrases per Sentence,Syntactic
Syntactic Complexity Feature: T-unit complexity ratio,Syntactic
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (Adv Type),Lexical
Syntactic Complexity Feature: Mean Length of Verb Cluster,Syntactic
Number of Morphological Features: Subjunctive Verbs,Count
Lexical Sophistication Feature: Portuguese Vocabulary Profile A1,Lexical
Number of Morphological Features: Preterite Verb,Count
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD N Type),Lexical
SD Local Edit Distance for tokens,Lexical
Lexical Richness: Type Token Ratio (TTR Nouns per Lexical Types),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (FW Type),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD FW Type),Lexical
POS Density Feature: Proper Noun,Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD Adj Type),Lexical
SD Left Embeddedness,Syntactic
Cohesive Complexity Feature: Mendes Additive Connectives per Token,Discourse
Number of Syntactic Constituents: T-units,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD Adj Type),Lexical
Morphological Complexity Inflection Feature: Indicatives per Verb,Morphological
Lexical Richness: Type Token Ratio (TTR Verbs incl. modals per Lexical Types),Lexical
Number of POS Feature: Adverb Lemma Types,Count
POS Density Feature: Pronoun,Lexical
Number of Morphological Features: Relative Pronouns,Count
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD LW Token),Lexical
Number of Syntactic Constituents: Verb Cluster,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD FW Token),Lexical
Number of Syntactic Constituents: Prenominal Noun Modifier,Count
Number of Connectives: Difficult Connectives,Count
POS Density Feature: Coordinating Conjunction,Lexical
Number of Syntactic Functions: Open Clausal Complement,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD AW Token),Lexical
Morphological Complexity Inflection Feature: Subjunctives per verb token,Morphological
Number of Syntactic Constituents: Dependent Clauses,Count
